id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
105927,Female,Loyal Customer,56,Business travel,Business,1491,3,3,3,3,4,4,4,3,4,5,5,4,4,4,258,247.0,satisfied
222,Female,Loyal Customer,44,Personal Travel,Eco,213,4,5,4,1,1,4,1,1,1,4,1,4,1,1,0,5.0,neutral or dissatisfied
92936,Female,Loyal Customer,31,Personal Travel,Eco,151,2,5,2,5,1,2,4,1,5,4,4,5,5,1,0,0.0,neutral or dissatisfied
35353,Female,Loyal Customer,25,Business travel,Business,3779,4,4,4,4,4,4,4,4,1,3,4,3,5,4,0,5.0,satisfied
86225,Female,disloyal Customer,36,Business travel,Eco,226,3,3,3,3,1,3,1,1,1,2,3,4,4,1,0,0.0,neutral or dissatisfied
64887,Male,disloyal Customer,23,Business travel,Eco,469,1,4,1,4,4,1,4,4,2,1,4,2,4,4,0,0.0,neutral or dissatisfied
64165,Male,Loyal Customer,33,Personal Travel,Eco,989,1,5,0,3,0,1,1,4,2,5,5,1,4,1,726,691.0,neutral or dissatisfied
83213,Female,Loyal Customer,26,Personal Travel,Eco Plus,1123,2,5,2,1,4,2,4,4,3,2,5,4,4,4,2,0.0,neutral or dissatisfied
122110,Female,Loyal Customer,65,Personal Travel,Eco,130,1,0,1,2,5,5,5,5,5,1,5,5,5,3,0,0.0,neutral or dissatisfied
61623,Male,Loyal Customer,42,Business travel,Eco,1346,4,5,5,5,5,4,5,5,1,5,3,3,4,5,0,0.0,neutral or dissatisfied
72396,Male,Loyal Customer,56,Business travel,Business,1766,2,2,2,2,4,5,4,4,4,4,4,5,4,5,56,65.0,satisfied
70312,Male,Loyal Customer,21,Personal Travel,Eco Plus,334,1,5,5,5,4,5,4,4,3,2,4,5,4,4,48,52.0,neutral or dissatisfied
9981,Female,Loyal Customer,10,Personal Travel,Eco,515,2,4,4,3,4,4,4,4,4,5,5,5,4,4,0,14.0,neutral or dissatisfied
120859,Female,disloyal Customer,21,Business travel,Eco,861,3,3,3,3,3,3,2,3,1,1,3,4,3,3,100,108.0,neutral or dissatisfied
55157,Male,Loyal Customer,13,Personal Travel,Eco,1608,3,5,4,1,2,4,2,2,4,1,4,4,4,2,2,0.0,neutral or dissatisfied
106109,Male,Loyal Customer,37,Business travel,Business,2077,2,1,1,1,1,4,3,2,2,2,2,4,2,4,37,27.0,neutral or dissatisfied
26752,Male,disloyal Customer,40,Business travel,Eco,859,2,2,2,1,2,2,2,2,4,4,1,3,1,2,9,18.0,neutral or dissatisfied
98476,Female,Loyal Customer,49,Personal Travel,Eco Plus,210,0,5,0,5,4,2,2,3,3,0,3,5,3,5,0,0.0,satisfied
74378,Male,disloyal Customer,41,Business travel,Business,1313,3,3,3,1,5,3,1,5,5,4,5,3,5,5,0,0.0,neutral or dissatisfied
78372,Male,disloyal Customer,23,Business travel,Eco,726,1,1,1,1,2,1,2,2,4,5,4,5,5,2,0,0.0,neutral or dissatisfied
101711,Female,Loyal Customer,23,Personal Travel,Eco,1624,3,3,3,1,2,3,2,2,4,4,5,3,4,2,45,35.0,neutral or dissatisfied
96505,Male,disloyal Customer,59,Business travel,Eco,302,1,1,1,4,1,1,1,1,2,3,3,3,3,1,38,38.0,neutral or dissatisfied
104428,Female,Loyal Customer,32,Business travel,Business,2841,5,5,5,5,4,4,4,4,5,2,5,4,5,4,3,1.0,satisfied
47516,Female,Loyal Customer,14,Personal Travel,Eco,599,1,4,1,3,3,1,3,3,4,5,3,2,4,3,86,88.0,neutral or dissatisfied
108550,Male,Loyal Customer,25,Personal Travel,Eco Plus,511,4,4,3,4,4,3,4,4,4,2,5,5,5,4,0,0.0,neutral or dissatisfied
45953,Female,Loyal Customer,21,Personal Travel,Eco,563,2,5,2,3,5,2,5,5,3,4,4,3,5,5,62,53.0,neutral or dissatisfied
98319,Female,Loyal Customer,25,Business travel,Business,1547,1,1,4,1,4,4,4,4,3,4,4,3,4,4,0,0.0,satisfied
76088,Female,Loyal Customer,48,Business travel,Eco,269,3,3,3,3,4,3,4,2,2,3,2,2,2,1,0,9.0,neutral or dissatisfied
14284,Male,Loyal Customer,33,Business travel,Business,2140,1,1,1,1,4,4,4,4,5,5,5,3,5,4,0,0.0,satisfied
28302,Male,Loyal Customer,58,Business travel,Business,2265,3,5,3,3,4,1,1,3,3,3,3,4,3,3,0,0.0,satisfied
71351,Female,Loyal Customer,41,Personal Travel,Eco Plus,1671,1,1,1,4,3,4,3,1,1,1,1,2,1,1,17,3.0,neutral or dissatisfied
