id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
129565,Female,Loyal Customer,48,Personal Travel,Eco,2583,1,5,1,2,2,3,2,4,4,1,4,1,4,4,0,0.0,neutral or dissatisfied
102003,Male,Loyal Customer,40,Business travel,Business,3352,2,2,2,2,2,4,5,4,4,4,4,3,4,3,2,1.0,satisfied
44475,Female,Loyal Customer,13,Personal Travel,Business,589,1,5,1,4,3,1,3,3,3,1,1,1,3,3,23,19.0,neutral or dissatisfied
8974,Female,Loyal Customer,31,Business travel,Business,725,2,2,2,2,5,5,5,5,5,2,5,4,4,5,0,0.0,satisfied
31800,Female,Loyal Customer,34,Business travel,Eco Plus,2640,4,2,2,2,4,4,4,3,4,3,5,4,3,4,0,12.0,satisfied
60991,Male,Loyal Customer,70,Personal Travel,Eco Plus,888,2,1,2,3,3,2,3,3,3,1,3,4,3,3,0,0.0,neutral or dissatisfied
80760,Female,disloyal Customer,41,Business travel,Business,629,1,1,1,2,3,1,3,3,3,3,4,4,4,3,0,12.0,neutral or dissatisfied
67199,Male,Loyal Customer,57,Personal Travel,Eco,1102,1,4,1,1,2,1,2,2,5,3,1,1,4,2,0,0.0,neutral or dissatisfied
8562,Female,Loyal Customer,37,Business travel,Business,109,3,3,3,3,3,4,4,4,4,4,5,4,4,3,0,0.0,satisfied
66994,Female,Loyal Customer,53,Business travel,Business,1119,3,1,1,1,1,3,3,3,3,3,3,2,3,4,0,10.0,neutral or dissatisfied
12732,Male,Loyal Customer,20,Personal Travel,Eco,689,2,4,2,2,3,2,3,3,3,5,5,4,4,3,0,0.0,neutral or dissatisfied
120023,Male,Loyal Customer,45,Personal Travel,Eco,328,3,0,3,1,5,3,5,5,3,3,5,5,4,5,0,0.0,neutral or dissatisfied
61758,Female,Loyal Customer,27,Personal Travel,Eco,1346,2,5,2,3,2,2,2,2,3,5,3,3,4,2,0,0.0,neutral or dissatisfied
98041,Female,Loyal Customer,43,Business travel,Business,1751,4,4,4,4,4,4,5,3,3,4,3,3,3,5,13,15.0,satisfied
22454,Female,Loyal Customer,23,Personal Travel,Eco,208,3,2,3,4,3,3,3,3,4,1,4,4,4,3,0,0.0,neutral or dissatisfied
39377,Male,Loyal Customer,47,Business travel,Eco,521,2,1,1,1,2,2,2,2,4,4,5,3,2,2,0,0.0,satisfied
124252,Male,Loyal Customer,38,Personal Travel,Eco,1916,3,5,3,1,4,3,4,4,5,2,5,3,5,4,3,0.0,neutral or dissatisfied
