id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
71698,Female,Loyal Customer,19,Personal Travel,Eco,1144,2,2,2,2,5,2,5,5,2,5,2,3,3,5,0,0.0,neutral or dissatisfied
98346,Male,Loyal Customer,25,Business travel,Business,1046,4,4,4,4,4,3,4,4,2,2,3,3,3,4,20,22.0,neutral or dissatisfied
99851,Male,Loyal Customer,29,Personal Travel,Eco,680,1,2,1,3,5,1,5,5,4,2,3,1,4,5,1,0.0,neutral or dissatisfied
117540,Male,Loyal Customer,46,Business travel,Business,1020,5,5,5,5,2,4,4,4,4,4,4,3,4,4,0,0.0,satisfied
87207,Female,Loyal Customer,36,Personal Travel,Eco,946,5,3,5,3,1,5,1,1,2,3,4,4,4,1,0,0.0,satisfied
12477,Male,Loyal Customer,17,Personal Travel,Eco,201,1,4,1,4,2,1,2,2,3,2,4,2,4,2,0,1.0,neutral or dissatisfied
102317,Male,Loyal Customer,56,Business travel,Business,258,5,5,4,5,5,4,4,4,4,4,4,5,4,3,65,55.0,satisfied
42621,Male,Loyal Customer,46,Business travel,Eco,546,3,3,3,3,3,3,3,3,3,3,2,4,4,3,0,0.0,satisfied
62269,Female,Loyal Customer,27,Personal Travel,Eco Plus,2565,1,1,0,3,1,0,1,1,4,1,4,1,3,1,6,0.0,neutral or dissatisfied
9056,Female,disloyal Customer,57,Business travel,Business,108,3,3,3,4,4,3,4,4,3,4,4,3,4,4,0,0.0,neutral or dissatisfied
10394,Male,Loyal Customer,52,Business travel,Business,2092,1,1,1,1,5,4,4,5,5,5,5,3,5,5,0,0.0,satisfied
36705,Male,Loyal Customer,62,Personal Travel,Eco,1249,3,4,3,3,3,4,4,4,4,4,5,4,3,4,130,133.0,neutral or dissatisfied
15595,Male,Loyal Customer,39,Business travel,Business,296,4,1,3,3,1,3,2,4,4,3,4,4,4,3,0,4.0,neutral or dissatisfied
78752,Male,Loyal Customer,54,Business travel,Business,554,5,5,5,5,2,4,5,4,4,4,4,4,4,5,0,0.0,satisfied
44945,Female,Loyal Customer,49,Business travel,Business,397,1,1,1,1,3,4,4,1,1,1,1,3,1,1,23,18.0,neutral or dissatisfied
19706,Female,Loyal Customer,44,Business travel,Business,1575,3,3,3,3,2,2,1,5,5,5,5,4,5,2,91,91.0,satisfied
27320,Male,Loyal Customer,41,Business travel,Eco,954,5,4,5,4,5,5,5,5,1,4,5,1,3,5,0,0.0,satisfied
32683,Male,disloyal Customer,36,Business travel,Business,216,1,1,1,3,4,1,1,4,3,1,3,4,4,4,5,13.0,neutral or dissatisfied
121206,Female,Loyal Customer,61,Personal Travel,Eco Plus,2402,1,2,2,4,2,4,4,1,1,3,4,4,4,4,0,0.0,neutral or dissatisfied
54433,Female,Loyal Customer,56,Personal Travel,Eco,305,3,5,5,3,2,5,4,4,4,5,4,4,4,3,0,0.0,neutral or dissatisfied
39184,Female,Loyal Customer,67,Personal Travel,Eco,237,4,5,0,3,5,5,5,2,2,0,2,5,2,3,0,0.0,neutral or dissatisfied
51336,Female,Loyal Customer,52,Business travel,Eco Plus,308,3,1,1,1,3,4,4,3,3,3,3,2,3,4,37,52.0,neutral or dissatisfied
34756,Male,disloyal Customer,34,Business travel,Eco,301,2,1,2,2,4,2,4,4,4,5,3,2,3,4,0,4.0,neutral or dissatisfied
6502,Female,Loyal Customer,27,Business travel,Business,2306,5,5,1,5,5,5,5,5,4,5,4,5,5,5,0,0.0,satisfied
14493,Male,Loyal Customer,46,Business travel,Eco Plus,495,4,5,2,5,4,4,4,4,3,5,4,1,4,4,0,0.0,neutral or dissatisfied
43509,Male,Loyal Customer,50,Personal Travel,Eco,679,4,5,4,3,4,4,4,4,4,5,5,3,5,4,0,1.0,neutral or dissatisfied
71525,Male,Loyal Customer,58,Business travel,Business,1500,1,1,1,1,3,4,4,4,4,4,4,4,4,4,24,16.0,satisfied
116651,Female,Loyal Customer,47,Business travel,Business,2941,1,1,1,1,4,4,5,4,4,4,4,4,4,4,0,0.0,satisfied
34471,Male,Loyal Customer,30,Business travel,Business,266,3,1,1,1,3,3,3,3,3,4,3,3,4,3,0,0.0,neutral or dissatisfied
26274,Male,Loyal Customer,40,Business travel,Business,2372,3,5,5,5,4,4,3,3,3,3,3,4,3,3,22,33.0,neutral or dissatisfied
102630,Male,disloyal Customer,22,Business travel,Eco,255,4,0,4,2,3,4,1,3,3,3,4,3,4,3,24,19.0,satisfied
13658,Male,Loyal Customer,43,Business travel,Business,3769,1,1,1,1,2,2,4,5,5,5,5,5,5,1,0,0.0,satisfied
76532,Female,Loyal Customer,28,Business travel,Eco,547,3,5,2,5,3,2,3,3,4,1,4,2,3,3,0,0.0,neutral or dissatisfied
109645,Male,Loyal Customer,45,Business travel,Business,3831,4,1,4,4,5,5,5,5,5,5,5,5,5,3,0,0.0,satisfied
47604,Male,Loyal Customer,27,Business travel,Business,1773,2,2,2,2,4,4,4,4,3,2,2,5,3,4,32,15.0,satisfied
85835,Female,Loyal Customer,20,Personal Travel,Eco,526,2,4,2,3,4,2,4,4,4,2,4,3,4,4,0,0.0,neutral or dissatisfied
24151,Male,Loyal Customer,43,Business travel,Eco,147,3,4,4,4,3,3,3,3,2,2,5,5,5,3,13,11.0,satisfied
34624,Female,disloyal Customer,30,Business travel,Eco Plus,2454,1,1,1,3,1,5,5,1,1,4,5,5,4,5,6,36.0,neutral or dissatisfied
107945,Female,Loyal Customer,46,Personal Travel,Eco,611,3,3,3,3,3,2,1,4,4,3,4,5,4,4,1,0.0,neutral or dissatisfied
5823,Female,Loyal Customer,58,Personal Travel,Eco,273,2,2,2,3,5,3,3,4,4,2,4,4,4,1,33,73.0,neutral or dissatisfied
45235,Male,Loyal Customer,52,Business travel,Eco,613,4,1,1,1,4,4,4,4,5,2,4,2,4,4,0,0.0,satisfied
117219,Female,Loyal Customer,32,Personal Travel,Eco,646,3,3,3,4,5,3,5,5,1,5,1,4,1,5,1,0.0,neutral or dissatisfied
9752,Female,Loyal Customer,42,Business travel,Business,1045,4,4,4,4,4,4,4,5,2,4,5,4,5,4,266,248.0,satisfied
60864,Female,Loyal Customer,36,Business travel,Business,1491,3,3,3,3,3,4,5,4,4,4,4,3,4,5,0,0.0,satisfied
125290,Male,disloyal Customer,33,Business travel,Eco,678,3,3,3,4,1,3,2,1,4,4,3,2,4,1,4,9.0,neutral or dissatisfied
38569,Female,Loyal Customer,40,Personal Travel,Eco,2586,2,3,2,3,4,2,4,4,1,1,4,2,3,4,0,17.0,neutral or dissatisfied
47196,Male,Loyal Customer,58,Business travel,Eco,279,4,5,5,5,4,4,4,4,3,1,5,1,4,4,6,5.0,satisfied
28100,Male,Loyal Customer,15,Business travel,Eco,569,5,5,5,5,5,5,4,5,4,3,1,2,5,5,0,8.0,satisfied
121192,Female,Loyal Customer,7,Personal Travel,Eco,2521,3,2,4,2,1,4,1,1,1,5,1,1,2,1,0,,neutral or dissatisfied
81302,Male,Loyal Customer,11,Personal Travel,Eco Plus,1029,4,2,3,3,5,3,5,5,4,2,4,3,4,5,0,0.0,neutral or dissatisfied
26845,Male,Loyal Customer,56,Business travel,Eco,224,5,3,3,3,5,5,5,5,5,5,3,1,3,5,0,0.0,satisfied
72079,Male,Loyal Customer,39,Business travel,Business,3404,3,4,4,4,1,4,4,3,3,3,3,4,3,3,0,0.0,neutral or dissatisfied
46480,Male,Loyal Customer,49,Personal Travel,Business,125,1,5,1,4,3,4,3,5,5,1,1,5,5,4,0,0.0,neutral or dissatisfied
56881,Female,disloyal Customer,23,Business travel,Eco,2565,5,4,4,2,5,4,4,3,4,4,5,4,4,4,0,28.0,satisfied
112340,Female,Loyal Customer,52,Business travel,Business,2304,3,3,3,3,4,4,4,5,5,5,5,3,5,5,30,35.0,satisfied
125067,Female,Loyal Customer,39,Business travel,Business,3683,5,5,2,5,5,4,4,3,3,4,3,3,3,5,0,0.0,satisfied
7018,Male,Loyal Customer,7,Personal Travel,Eco,234,3,5,3,4,3,3,3,3,1,5,4,5,4,3,0,0.0,neutral or dissatisfied
55910,Male,Loyal Customer,7,Personal Travel,Eco,733,2,4,2,4,5,2,5,5,1,2,4,1,3,5,0,0.0,neutral or dissatisfied
13161,Female,Loyal Customer,54,Personal Travel,Eco,427,3,5,3,4,5,3,5,3,3,3,3,3,3,5,0,0.0,neutral or dissatisfied
24741,Female,Loyal Customer,49,Business travel,Eco,447,2,2,2,2,3,4,2,2,2,2,2,2,2,5,0,0.0,satisfied
25789,Female,Loyal Customer,38,Business travel,Business,2388,1,3,3,3,3,4,2,1,1,1,1,2,1,2,2,0.0,neutral or dissatisfied
116885,Male,disloyal Customer,21,Business travel,Eco,368,5,5,5,4,4,5,4,4,4,2,5,3,5,4,43,41.0,satisfied
28932,Male,Loyal Customer,25,Business travel,Eco,605,1,4,4,4,1,1,2,1,2,3,4,3,3,1,0,0.0,neutral or dissatisfied
58714,Female,disloyal Customer,15,Business travel,Eco,606,3,2,3,3,3,3,3,3,2,1,4,3,4,3,64,89.0,neutral or dissatisfied
60776,Male,Loyal Customer,8,Personal Travel,Eco,628,1,5,0,1,3,0,3,3,3,3,4,5,4,3,0,0.0,neutral or dissatisfied
102425,Female,Loyal Customer,54,Personal Travel,Eco,391,1,2,1,3,3,4,4,5,5,1,5,3,5,4,13,3.0,neutral or dissatisfied
72312,Male,Loyal Customer,60,Business travel,Eco Plus,919,1,4,4,4,1,1,1,1,4,4,2,4,3,1,0,0.0,neutral or dissatisfied
45912,Female,disloyal Customer,39,Business travel,Business,641,2,2,2,4,4,2,1,4,1,2,3,3,3,4,58,45.0,neutral or dissatisfied
73419,Male,disloyal Customer,20,Business travel,Eco,797,3,3,3,2,5,3,5,5,2,2,1,1,2,5,37,33.0,neutral or dissatisfied
55392,Female,Loyal Customer,10,Personal Travel,Eco,678,3,5,4,2,5,4,5,5,3,2,4,4,4,5,23,28.0,neutral or dissatisfied
119981,Male,Loyal Customer,8,Personal Travel,Eco,1009,1,3,1,4,4,1,2,4,2,2,4,3,3,4,0,0.0,neutral or dissatisfied
43093,Female,Loyal Customer,15,Personal Travel,Eco,391,3,4,3,4,5,3,1,5,3,4,3,2,4,5,21,15.0,neutral or dissatisfied
102611,Male,disloyal Customer,36,Business travel,Business,236,3,3,3,4,1,3,1,1,4,1,3,1,3,1,23,37.0,neutral or dissatisfied
113471,Male,Loyal Customer,47,Business travel,Eco,223,1,3,3,3,1,1,1,1,4,5,2,4,2,1,2,0.0,neutral or dissatisfied
37003,Female,Loyal Customer,33,Personal Travel,Eco,899,4,4,4,3,5,4,2,5,5,4,5,4,5,5,0,0.0,satisfied
108530,Female,disloyal Customer,56,Business travel,Eco,249,3,0,3,3,2,3,2,2,2,3,1,3,1,2,1,3.0,neutral or dissatisfied
111679,Male,Loyal Customer,15,Personal Travel,Eco,991,1,3,0,2,4,0,4,4,2,3,2,4,3,4,20,33.0,neutral or dissatisfied
29014,Female,Loyal Customer,70,Business travel,Business,3405,5,5,5,5,4,5,3,4,4,4,4,5,4,1,0,0.0,satisfied
63080,Female,Loyal Customer,66,Personal Travel,Eco,948,3,2,3,3,1,2,3,1,1,3,1,1,1,4,0,0.0,neutral or dissatisfied
29999,Male,Loyal Customer,30,Business travel,Eco,160,4,2,4,2,4,4,4,4,3,1,2,5,2,4,0,0.0,satisfied
26939,Male,Loyal Customer,14,Personal Travel,Eco,2378,2,5,2,2,2,2,2,2,4,4,4,5,4,2,30,40.0,neutral or dissatisfied
87776,Male,Loyal Customer,39,Business travel,Business,143,4,4,2,4,3,5,4,4,4,4,5,4,4,3,0,0.0,satisfied
66530,Male,Loyal Customer,46,Business travel,Business,2688,1,1,1,1,3,5,5,4,4,5,4,4,4,5,3,0.0,satisfied
33268,Male,Loyal Customer,25,Personal Travel,Eco Plus,101,2,1,2,3,5,2,5,5,1,5,3,1,3,5,0,0.0,neutral or dissatisfied
40364,Male,Loyal Customer,51,Business travel,Business,1250,1,1,1,1,2,1,1,2,2,2,2,4,2,4,0,0.0,satisfied
35992,Female,Loyal Customer,47,Personal Travel,Eco,2496,2,2,2,4,2,3,3,2,2,3,3,3,1,3,0,0.0,neutral or dissatisfied
47246,Female,Loyal Customer,48,Business travel,Business,2728,3,2,3,3,4,4,4,3,3,4,3,5,3,5,12,4.0,satisfied
55031,Male,Loyal Customer,52,Business travel,Business,1379,1,1,2,1,5,5,5,4,4,4,4,5,4,5,6,0.0,satisfied
896,Female,Loyal Customer,39,Business travel,Business,1976,1,2,2,2,3,2,2,1,1,1,1,3,1,1,0,13.0,neutral or dissatisfied
87530,Male,Loyal Customer,51,Business travel,Business,1627,2,2,2,2,2,4,5,4,4,4,4,4,4,3,0,0.0,satisfied
50268,Male,Loyal Customer,51,Business travel,Business,308,1,1,1,1,5,4,4,3,3,4,3,4,3,2,0,0.0,satisfied
47861,Female,disloyal Customer,22,Business travel,Eco,834,2,2,2,5,5,2,5,5,4,1,3,2,5,5,9,1.0,neutral or dissatisfied
111444,Male,Loyal Customer,58,Business travel,Eco,1024,2,3,3,3,2,2,2,2,3,3,3,4,4,2,65,40.0,neutral or dissatisfied
86319,Male,Loyal Customer,46,Personal Travel,Eco Plus,226,1,4,1,3,1,1,1,1,5,4,4,3,5,1,22,34.0,neutral or dissatisfied
111065,Female,Loyal Customer,16,Personal Travel,Eco,319,4,5,5,5,2,5,4,2,5,5,2,5,3,2,0,0.0,neutral or dissatisfied
91913,Male,Loyal Customer,26,Business travel,Eco,2586,3,2,5,2,3,3,2,3,1,1,4,4,3,3,0,0.0,neutral or dissatisfied
74846,Male,Loyal Customer,39,Personal Travel,Eco Plus,1797,3,5,3,3,1,3,1,1,4,3,4,3,5,1,0,2.0,neutral or dissatisfied
