id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
112820,Female,Loyal Customer,38,Business travel,Business,1357,5,5,5,5,2,5,4,5,5,5,5,5,5,3,1,0.0,satisfied
29633,Female,Loyal Customer,39,Business travel,Business,1634,3,1,1,1,2,3,4,3,3,2,3,2,3,3,0,0.0,neutral or dissatisfied
95936,Female,Loyal Customer,48,Personal Travel,Eco,1411,2,3,2,3,4,4,1,5,5,2,5,1,5,1,15,0.0,neutral or dissatisfied
48684,Male,Loyal Customer,46,Business travel,Business,1738,1,1,1,1,4,5,4,5,5,5,5,3,5,5,18,15.0,satisfied
21770,Male,Loyal Customer,54,Business travel,Business,352,2,2,2,2,1,3,1,5,5,5,5,4,5,2,0,0.0,satisfied
113032,Male,Loyal Customer,72,Business travel,Business,569,5,5,5,5,3,4,5,5,5,5,5,4,5,4,41,34.0,satisfied
46752,Male,Loyal Customer,42,Business travel,Eco Plus,125,4,5,5,5,5,4,5,5,5,1,3,3,4,5,16,22.0,satisfied
94591,Female,Loyal Customer,53,Business travel,Business,187,3,3,3,3,4,5,5,5,5,5,5,5,5,4,0,0.0,satisfied
100284,Female,Loyal Customer,27,Business travel,Business,3904,1,1,1,1,5,5,5,5,5,5,4,3,5,5,59,44.0,satisfied
70940,Male,Loyal Customer,31,Business travel,Business,612,1,1,1,1,3,4,3,3,5,2,4,2,4,3,15,6.0,satisfied
9917,Female,Loyal Customer,17,Business travel,Business,357,2,1,2,1,2,2,2,2,2,3,3,1,2,2,91,86.0,neutral or dissatisfied
116379,Male,Loyal Customer,14,Personal Travel,Eco,308,4,5,4,4,2,4,1,2,4,3,5,4,5,2,0,0.0,neutral or dissatisfied
31119,Female,Loyal Customer,38,Business travel,Business,991,1,1,2,1,3,1,2,5,5,5,5,5,5,1,0,0.0,satisfied
49010,Male,Loyal Customer,31,Business travel,Business,2513,1,1,3,1,4,5,5,4,5,4,1,5,3,4,0,0.0,satisfied
62873,Male,Loyal Customer,52,Personal Travel,Eco,2446,2,4,2,1,4,2,4,4,3,3,5,4,4,4,7,0.0,neutral or dissatisfied
80901,Male,Loyal Customer,29,Personal Travel,Business,341,1,1,4,3,1,4,1,1,3,1,4,2,4,1,0,0.0,neutral or dissatisfied
75947,Female,Loyal Customer,56,Business travel,Business,297,1,1,1,1,3,5,5,3,3,4,3,4,3,5,0,0.0,satisfied
41257,Male,Loyal Customer,49,Business travel,Business,2985,2,2,2,2,1,1,5,5,5,5,5,2,5,3,0,0.0,satisfied
91199,Female,Loyal Customer,61,Personal Travel,Eco,240,1,1,1,4,3,3,4,3,3,1,3,4,3,3,0,0.0,neutral or dissatisfied
91974,Female,Loyal Customer,31,Business travel,Eco Plus,2446,4,2,2,2,4,3,4,4,2,1,2,1,3,4,4,0.0,neutral or dissatisfied
13251,Female,Loyal Customer,52,Business travel,Eco,772,3,4,4,4,3,4,4,3,3,3,3,3,3,3,0,0.0,neutral or dissatisfied
63314,Female,Loyal Customer,55,Business travel,Eco,337,3,1,4,1,3,4,3,3,3,3,3,4,3,2,4,14.0,neutral or dissatisfied
116003,Male,Loyal Customer,47,Personal Travel,Eco,358,3,5,3,2,2,3,2,2,3,5,5,3,5,2,4,1.0,neutral or dissatisfied
