id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
26463,Female,Loyal Customer,54,Personal Travel,Eco,925,3,4,4,4,3,3,4,4,4,4,4,3,4,2,0,1.0,neutral or dissatisfied
46257,Female,Loyal Customer,69,Personal Travel,Eco,624,3,1,3,4,4,3,3,4,4,3,4,1,4,3,36,33.0,neutral or dissatisfied
33133,Male,Loyal Customer,48,Personal Travel,Eco,102,4,4,4,3,1,4,1,1,4,3,5,5,5,1,1,4.0,satisfied
74876,Female,Loyal Customer,52,Personal Travel,Eco,2239,0,5,1,3,5,5,4,3,3,1,3,5,3,3,0,0.0,satisfied
113702,Female,Loyal Customer,26,Personal Travel,Eco,414,1,4,1,4,1,1,2,1,3,2,3,4,4,1,0,1.0,neutral or dissatisfied
41096,Female,Loyal Customer,35,Business travel,Eco,191,4,1,1,1,4,4,4,4,2,4,1,5,3,4,0,0.0,satisfied
56695,Male,Loyal Customer,48,Personal Travel,Eco,997,4,4,3,3,3,3,3,3,4,4,4,5,5,3,0,6.0,neutral or dissatisfied
50895,Male,Loyal Customer,30,Personal Travel,Eco,199,1,5,0,3,5,0,5,5,3,3,5,4,4,5,0,0.0,neutral or dissatisfied
49983,Male,Loyal Customer,41,Business travel,Eco,308,1,5,5,5,1,1,1,1,2,3,4,2,3,1,0,0.0,neutral or dissatisfied
67231,Male,Loyal Customer,28,Personal Travel,Eco,1121,1,3,1,3,5,1,5,5,3,1,4,3,3,5,8,0.0,neutral or dissatisfied
61852,Male,Loyal Customer,27,Personal Travel,Eco Plus,1635,0,4,0,2,5,0,5,5,1,2,3,3,5,5,14,8.0,satisfied
50265,Male,Loyal Customer,34,Business travel,Business,2501,3,1,1,1,4,4,3,4,4,4,3,1,4,1,0,0.0,neutral or dissatisfied
128622,Male,disloyal Customer,46,Business travel,Business,954,5,5,5,1,1,5,5,1,3,4,4,5,5,1,0,0.0,satisfied
45431,Male,Loyal Customer,28,Business travel,Business,649,3,3,3,3,2,2,2,2,1,2,5,4,5,2,0,0.0,satisfied
53334,Female,Loyal Customer,63,Personal Travel,Eco Plus,758,4,5,4,3,4,4,4,4,3,4,5,4,4,4,146,124.0,neutral or dissatisfied
110659,Female,disloyal Customer,27,Business travel,Business,829,1,1,1,4,1,1,1,1,4,3,4,5,5,1,0,0.0,neutral or dissatisfied
91069,Male,Loyal Customer,57,Personal Travel,Eco,406,2,1,2,4,3,2,3,3,2,5,3,4,3,3,0,12.0,neutral or dissatisfied
49490,Male,Loyal Customer,35,Business travel,Business,2783,2,5,5,5,4,3,4,2,2,2,2,4,2,3,0,1.0,neutral or dissatisfied
118151,Male,Loyal Customer,31,Business travel,Business,1444,4,4,4,4,5,5,5,5,2,4,5,5,5,5,194,231.0,satisfied
72718,Female,Loyal Customer,59,Business travel,Business,2658,4,4,4,4,2,5,5,4,4,4,4,4,4,4,89,71.0,satisfied
106072,Male,Loyal Customer,32,Business travel,Business,302,1,1,1,1,4,4,4,4,5,4,4,5,4,4,21,6.0,satisfied
44266,Male,Loyal Customer,16,Personal Travel,Eco,222,3,1,3,3,1,3,5,1,1,4,3,3,3,1,0,0.0,neutral or dissatisfied
10303,Female,Loyal Customer,53,Business travel,Business,2553,1,1,1,1,5,5,4,4,4,4,4,3,4,5,9,8.0,satisfied
71407,Male,Loyal Customer,52,Business travel,Eco,334,3,4,4,4,3,3,3,3,4,1,3,2,4,3,98,91.0,neutral or dissatisfied
9327,Female,Loyal Customer,58,Personal Travel,Eco,542,1,4,1,5,3,5,3,1,1,1,3,1,1,1,5,0.0,neutral or dissatisfied
14107,Female,Loyal Customer,65,Personal Travel,Eco,453,3,2,3,3,3,4,4,4,3,3,3,4,4,4,514,624.0,neutral or dissatisfied
116555,Male,Loyal Customer,68,Personal Travel,Eco,358,1,5,1,5,3,1,3,3,5,2,4,5,5,3,11,8.0,neutral or dissatisfied
128279,Male,Loyal Customer,42,Personal Travel,Business,646,1,3,1,3,2,3,4,1,1,1,1,4,1,4,0,15.0,neutral or dissatisfied
98088,Female,Loyal Customer,28,Business travel,Eco,845,2,5,5,5,2,2,2,2,4,5,3,3,4,2,0,0.0,neutral or dissatisfied
33281,Female,Loyal Customer,42,Personal Travel,Eco Plus,216,4,2,4,3,1,2,3,2,2,4,4,3,2,4,0,0.0,satisfied
53291,Female,Loyal Customer,45,Business travel,Eco,758,5,3,3,3,4,5,3,5,5,5,5,5,5,3,1,0.0,satisfied
114640,Male,Loyal Customer,51,Business travel,Business,308,2,2,2,2,5,4,5,4,4,4,4,4,4,3,19,15.0,satisfied
54847,Male,Loyal Customer,25,Business travel,Business,862,5,5,5,5,4,4,4,4,4,4,4,4,5,4,0,0.0,satisfied
127058,Female,Loyal Customer,57,Business travel,Business,3516,1,1,2,1,2,5,5,4,4,4,4,3,4,5,0,0.0,satisfied
74327,Female,Loyal Customer,49,Business travel,Business,3386,4,1,1,1,2,4,3,4,4,4,4,4,4,3,7,3.0,neutral or dissatisfied
101661,Female,Loyal Customer,44,Business travel,Business,2106,2,2,2,2,5,3,4,4,4,4,4,3,4,5,0,0.0,satisfied
21674,Female,Loyal Customer,31,Business travel,Business,2353,1,1,1,1,4,4,4,4,5,1,3,2,2,4,0,0.0,satisfied
104092,Male,disloyal Customer,30,Business travel,Eco,588,4,2,4,3,4,4,3,4,1,3,3,2,4,4,0,0.0,neutral or dissatisfied
94846,Male,Loyal Customer,16,Business travel,Business,1912,2,4,4,4,2,2,2,2,2,2,3,3,4,2,3,0.0,neutral or dissatisfied
40291,Female,Loyal Customer,30,Personal Travel,Eco,347,2,5,2,3,2,2,2,2,3,2,5,3,1,2,65,49.0,neutral or dissatisfied
105288,Female,Loyal Customer,58,Business travel,Business,2089,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0.0,satisfied
114395,Male,Loyal Customer,44,Business travel,Business,373,5,5,5,5,3,4,4,4,4,4,4,5,4,4,0,0.0,satisfied
111902,Female,Loyal Customer,7,Personal Travel,Eco,804,3,4,3,4,4,3,4,4,2,4,4,2,3,4,15,15.0,neutral or dissatisfied
5347,Female,Loyal Customer,57,Business travel,Business,3409,1,1,1,1,5,5,5,2,2,2,2,4,2,5,0,0.0,satisfied
121038,Male,Loyal Customer,68,Personal Travel,Eco,861,0,4,0,3,5,0,5,5,4,2,4,3,5,5,0,0.0,satisfied
4057,Male,Loyal Customer,29,Personal Travel,Eco,479,2,4,2,1,1,2,1,1,1,2,5,5,1,1,67,39.0,neutral or dissatisfied
100325,Male,Loyal Customer,29,Business travel,Eco,1034,2,3,3,3,2,2,2,2,4,4,2,3,3,2,10,20.0,neutral or dissatisfied
101987,Female,Loyal Customer,49,Personal Travel,Eco,628,3,4,3,2,4,5,4,5,5,3,5,4,5,5,0,0.0,neutral or dissatisfied
38266,Male,disloyal Customer,27,Business travel,Business,1133,4,4,4,3,4,4,5,4,4,3,3,2,3,4,0,8.0,neutral or dissatisfied
102085,Male,Loyal Customer,45,Business travel,Business,391,4,4,4,4,3,5,4,4,4,4,4,5,4,3,0,0.0,satisfied
66616,Female,Loyal Customer,54,Business travel,Business,802,5,5,5,5,3,4,4,5,5,4,5,5,5,4,71,70.0,satisfied
80062,Female,Loyal Customer,12,Personal Travel,Eco,1076,2,2,2,4,5,2,5,5,3,5,3,3,3,5,1,0.0,neutral or dissatisfied
9909,Male,Loyal Customer,35,Business travel,Business,357,3,3,3,3,2,4,4,4,4,4,4,5,4,4,0,0.0,satisfied
19650,Female,Loyal Customer,28,Business travel,Business,1563,5,5,5,5,4,4,4,4,1,2,5,3,4,4,0,0.0,satisfied
100963,Male,Loyal Customer,70,Personal Travel,Eco,1142,1,5,1,4,2,1,4,2,3,5,5,3,5,2,14,34.0,neutral or dissatisfied
80614,Female,Loyal Customer,32,Business travel,Business,236,2,5,5,5,2,2,2,2,1,1,3,3,4,2,0,0.0,neutral or dissatisfied
49624,Male,Loyal Customer,38,Business travel,Eco,373,2,5,5,5,2,2,2,2,5,4,1,3,2,2,0,0.0,satisfied
118333,Female,Loyal Customer,42,Business travel,Eco,602,1,2,2,2,3,3,4,1,1,1,1,3,1,3,28,6.0,neutral or dissatisfied
8830,Male,Loyal Customer,57,Personal Travel,Eco,552,3,5,3,3,4,3,4,4,4,5,4,3,5,4,0,0.0,neutral or dissatisfied
26642,Female,disloyal Customer,40,Business travel,Business,581,3,3,3,3,2,3,2,2,1,5,4,2,1,2,0,0.0,neutral or dissatisfied
86990,Female,Loyal Customer,43,Personal Travel,Eco,907,1,4,1,1,2,5,4,2,2,1,2,3,2,3,52,47.0,neutral or dissatisfied
34450,Female,Loyal Customer,58,Business travel,Business,2930,4,4,4,4,4,2,1,4,4,4,4,5,4,4,0,0.0,satisfied
27615,Female,Loyal Customer,45,Personal Travel,Eco,697,3,4,3,3,5,3,4,5,5,3,5,4,5,2,1,7.0,neutral or dissatisfied
14617,Male,Loyal Customer,40,Business travel,Business,450,3,5,4,4,4,4,3,3,3,4,3,3,3,1,38,29.0,neutral or dissatisfied
88492,Male,Loyal Customer,38,Business travel,Business,2533,1,2,2,2,1,1,4,1,1,1,1,2,1,2,4,0.0,neutral or dissatisfied
56905,Female,Loyal Customer,54,Business travel,Business,2565,2,2,2,2,5,5,5,5,2,5,5,5,3,5,23,26.0,satisfied
29843,Male,Loyal Customer,34,Business travel,Business,2482,4,4,4,4,1,1,4,5,5,5,3,1,5,1,0,0.0,satisfied
23931,Male,Loyal Customer,15,Business travel,Eco Plus,589,5,3,4,3,5,5,4,5,2,2,4,3,1,5,0,2.0,satisfied
115246,Male,disloyal Customer,37,Business travel,Business,337,4,4,4,1,5,4,5,5,5,2,4,3,4,5,0,0.0,satisfied
59554,Female,Loyal Customer,55,Business travel,Business,2237,5,5,4,5,2,4,5,4,4,4,4,4,4,4,39,26.0,satisfied
