id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
117266,Male,Loyal Customer,17,Personal Travel,Eco,368,1,4,2,4,4,2,4,4,1,3,3,2,4,4,0,0.0,neutral or dissatisfied
36591,Female,Loyal Customer,17,Business travel,Business,1249,2,4,4,4,2,2,2,2,4,5,4,4,4,2,0,39.0,neutral or dissatisfied
64722,Male,Loyal Customer,47,Business travel,Business,1622,4,4,4,4,4,5,4,3,3,3,3,4,3,4,22,14.0,satisfied
75479,Male,Loyal Customer,59,Personal Travel,Eco,2342,1,3,1,3,1,1,1,1,3,3,3,5,3,1,9,6.0,neutral or dissatisfied
54287,Male,disloyal Customer,26,Business travel,Business,1075,1,1,1,3,5,1,5,5,4,2,3,3,4,5,0,0.0,neutral or dissatisfied
91248,Male,Loyal Customer,19,Personal Travel,Eco,545,2,4,2,4,5,2,5,5,4,4,4,1,4,5,0,0.0,neutral or dissatisfied
49809,Female,Loyal Customer,42,Business travel,Eco,373,4,2,2,2,2,1,3,4,4,4,4,4,4,4,0,0.0,satisfied
65120,Female,Loyal Customer,31,Personal Travel,Eco,224,2,4,2,4,4,2,3,4,5,4,4,5,4,4,11,8.0,neutral or dissatisfied
103769,Male,Loyal Customer,54,Business travel,Business,3789,1,1,1,1,3,4,5,5,5,5,5,5,5,4,0,0.0,satisfied
124222,Female,disloyal Customer,49,Business travel,Business,1916,2,2,2,5,2,2,2,2,3,3,5,4,4,2,6,0.0,neutral or dissatisfied
73424,Female,Loyal Customer,68,Personal Travel,Eco,1182,3,4,3,4,2,3,4,1,1,3,1,4,1,3,0,0.0,neutral or dissatisfied
98817,Female,Loyal Customer,46,Business travel,Business,444,5,5,5,5,3,5,5,4,4,4,4,4,4,5,12,6.0,satisfied
67565,Male,disloyal Customer,36,Business travel,Business,1205,3,3,3,3,5,3,3,5,5,3,4,3,5,5,0,0.0,neutral or dissatisfied
102820,Male,Loyal Customer,48,Personal Travel,Eco,342,4,4,4,3,3,4,3,3,4,3,4,5,5,3,0,2.0,neutral or dissatisfied
32958,Female,Loyal Customer,51,Personal Travel,Eco,101,3,3,3,5,4,2,2,2,2,3,1,4,2,1,0,0.0,neutral or dissatisfied
81975,Male,Loyal Customer,38,Business travel,Business,1522,2,2,5,2,2,4,4,2,2,2,2,2,2,1,64,39.0,neutral or dissatisfied
113840,Male,Loyal Customer,26,Business travel,Business,1334,1,1,1,1,4,4,4,4,4,2,4,5,5,4,10,9.0,satisfied
104205,Male,Loyal Customer,23,Business travel,Business,2704,4,4,4,4,5,5,5,5,5,2,4,4,4,5,12,15.0,satisfied
52353,Male,Loyal Customer,15,Personal Travel,Eco,455,1,4,1,4,1,1,1,1,5,3,4,3,5,1,0,6.0,neutral or dissatisfied
104346,Female,Loyal Customer,63,Personal Travel,Eco,452,2,5,2,2,3,4,5,4,4,2,4,4,4,3,0,0.0,neutral or dissatisfied
43799,Female,disloyal Customer,24,Business travel,Eco,348,2,0,2,3,3,2,3,3,4,3,4,5,5,3,0,0.0,neutral or dissatisfied
10789,Female,Loyal Customer,55,Business travel,Business,3953,4,5,5,5,3,3,3,4,4,4,4,4,4,4,0,11.0,neutral or dissatisfied
63610,Male,Loyal Customer,43,Business travel,Business,1440,2,2,2,2,4,4,5,4,4,4,4,3,4,5,0,6.0,satisfied
45988,Female,Loyal Customer,40,Business travel,Business,3560,5,5,5,5,5,3,5,5,5,5,5,4,5,4,42,33.0,satisfied
3471,Female,Loyal Customer,18,Personal Travel,Eco Plus,315,2,4,2,3,5,2,5,5,5,3,4,3,4,5,0,0.0,neutral or dissatisfied
8431,Female,Loyal Customer,47,Personal Travel,Eco,862,1,5,1,5,3,5,5,2,2,1,2,4,2,3,0,0.0,neutral or dissatisfied
46713,Female,Loyal Customer,14,Personal Travel,Eco,141,5,4,5,2,1,5,1,1,4,3,4,3,5,1,0,0.0,satisfied
1672,Female,Loyal Customer,46,Business travel,Business,3843,2,2,2,2,2,4,4,5,5,5,5,4,5,5,0,0.0,satisfied
107102,Male,Loyal Customer,61,Personal Travel,Eco,562,4,4,4,3,3,4,3,3,5,2,5,4,4,3,29,10.0,neutral or dissatisfied
111546,Female,Loyal Customer,44,Business travel,Business,2297,2,2,2,2,2,5,4,5,5,5,5,3,5,4,0,0.0,satisfied
65131,Male,Loyal Customer,14,Personal Travel,Eco,247,2,5,2,3,3,2,3,3,3,5,4,5,4,3,34,31.0,neutral or dissatisfied
10193,Female,disloyal Customer,24,Business travel,Eco,312,0,0,0,4,4,0,4,4,3,4,4,5,4,4,16,8.0,satisfied
123620,Female,disloyal Customer,68,Business travel,Business,214,1,1,1,5,1,1,1,1,5,2,5,4,5,1,0,0.0,neutral or dissatisfied
