id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
127243,Male,Loyal Customer,49,Business travel,Business,2718,2,2,2,2,4,5,5,4,4,4,4,4,4,5,0,9.0,satisfied
23458,Male,disloyal Customer,23,Business travel,Eco,576,3,4,3,3,4,3,2,4,3,2,3,1,5,4,0,0.0,neutral or dissatisfied
34894,Female,Loyal Customer,39,Business travel,Eco,395,5,5,5,5,5,5,5,5,2,4,3,3,1,5,0,0.0,satisfied
122144,Male,Loyal Customer,59,Business travel,Business,546,1,1,2,1,5,5,5,5,5,5,5,3,5,5,0,0.0,satisfied
127920,Male,Loyal Customer,52,Business travel,Business,2300,5,5,5,5,5,5,5,4,4,4,4,4,4,5,0,0.0,satisfied
14995,Female,Loyal Customer,71,Business travel,Business,1201,3,3,5,3,4,2,1,4,4,4,4,3,4,2,11,0.0,satisfied
60368,Female,Loyal Customer,33,Business travel,Business,1476,5,5,3,5,4,5,4,4,4,4,4,4,4,3,1,0.0,satisfied
46587,Female,Loyal Customer,50,Business travel,Eco,212,5,5,5,5,2,4,4,5,5,5,5,4,5,4,0,0.0,satisfied
16219,Male,Loyal Customer,50,Business travel,Eco Plus,212,5,1,3,1,4,5,4,4,2,5,3,2,3,4,0,0.0,satisfied
10406,Female,Loyal Customer,70,Business travel,Business,316,4,4,4,4,4,5,4,5,5,5,5,5,5,3,0,0.0,satisfied
93190,Female,Loyal Customer,24,Business travel,Business,3108,4,4,4,4,4,4,4,4,5,4,5,5,5,4,0,21.0,satisfied
55950,Female,Loyal Customer,42,Business travel,Business,1620,2,2,2,2,5,4,5,4,4,4,4,5,4,3,0,16.0,satisfied
120153,Male,Loyal Customer,24,Business travel,Business,2378,5,5,5,5,5,5,5,5,4,4,5,5,5,5,2,0.0,satisfied
115158,Female,Loyal Customer,56,Business travel,Business,3122,1,1,1,1,3,5,5,2,2,2,2,4,2,4,2,3.0,satisfied
104787,Female,Loyal Customer,31,Business travel,Business,587,3,3,3,3,3,3,3,3,4,5,5,3,5,3,102,,satisfied
129785,Female,Loyal Customer,36,Personal Travel,Eco,337,1,1,5,4,3,5,3,3,4,5,3,4,3,3,0,0.0,neutral or dissatisfied
24020,Female,Loyal Customer,29,Business travel,Business,2616,1,5,5,5,1,1,1,1,3,5,4,3,4,1,0,0.0,neutral or dissatisfied
78872,Male,Loyal Customer,28,Personal Travel,Eco,1995,2,2,1,3,3,1,1,3,4,4,4,4,4,3,0,0.0,neutral or dissatisfied
