id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
26978,Male,Loyal Customer,9,Business travel,Business,1722,2,2,2,2,2,2,2,2,2,3,4,1,4,2,8,2.0,neutral or dissatisfied
77760,Male,Loyal Customer,19,Business travel,Business,3279,4,4,4,4,4,4,4,4,5,4,4,5,5,4,0,0.0,satisfied
32065,Female,Loyal Customer,32,Business travel,Business,216,1,3,1,1,5,5,5,5,2,3,5,5,5,5,0,0.0,satisfied
101454,Male,disloyal Customer,22,Business travel,Business,345,4,0,4,3,3,4,2,3,3,2,5,5,4,3,116,113.0,satisfied
44417,Female,Loyal Customer,37,Business travel,Eco Plus,265,2,5,5,5,2,2,2,2,2,4,3,1,2,2,0,21.0,neutral or dissatisfied
84396,Female,Loyal Customer,54,Business travel,Business,2460,1,5,4,5,3,3,4,1,1,1,1,2,1,1,0,0.0,neutral or dissatisfied
5315,Male,Loyal Customer,55,Business travel,Eco Plus,190,2,1,1,1,2,2,2,2,4,4,3,2,3,2,18,19.0,neutral or dissatisfied
105099,Female,disloyal Customer,42,Business travel,Business,289,4,4,4,3,4,4,4,4,3,2,5,5,5,4,0,0.0,satisfied
14988,Male,Loyal Customer,32,Personal Travel,Eco Plus,1080,2,5,2,1,1,2,1,1,5,5,4,5,5,1,6,14.0,neutral or dissatisfied
114546,Female,Loyal Customer,22,Personal Travel,Business,372,1,4,1,3,5,1,5,5,4,5,3,3,3,5,98,84.0,neutral or dissatisfied
98567,Male,Loyal Customer,47,Business travel,Business,834,3,3,3,3,2,5,4,4,4,4,4,3,4,3,0,0.0,satisfied
