id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
100069,Male,Loyal Customer,18,Personal Travel,Eco,220,4,2,4,4,4,4,4,4,4,2,4,1,3,4,0,0.0,neutral or dissatisfied
116163,Male,Loyal Customer,43,Personal Travel,Eco,333,2,5,2,1,4,2,4,4,3,2,4,3,4,4,0,0.0,neutral or dissatisfied
69699,Male,Loyal Customer,39,Business travel,Business,1372,5,5,5,5,4,4,4,4,3,4,4,4,3,4,338,334.0,satisfied
28018,Female,Loyal Customer,42,Business travel,Business,763,1,1,1,1,4,4,1,5,5,5,5,4,5,4,0,0.0,satisfied
96055,Female,Loyal Customer,46,Business travel,Business,395,2,2,2,2,2,1,4,5,5,5,5,3,5,4,0,0.0,satisfied
29697,Female,disloyal Customer,29,Business travel,Eco,1052,3,3,3,1,4,3,4,4,1,3,3,4,1,4,3,7.0,neutral or dissatisfied
11065,Female,Loyal Customer,68,Personal Travel,Eco,429,4,5,4,2,2,5,5,5,5,4,5,2,5,5,0,0.0,neutral or dissatisfied
53160,Female,disloyal Customer,51,Business travel,Business,589,4,4,4,3,5,4,2,5,4,3,5,4,4,5,0,0.0,satisfied
69331,Male,disloyal Customer,24,Business travel,Business,1096,4,0,3,2,5,3,5,5,3,2,4,4,5,5,0,0.0,satisfied
7995,Male,Loyal Customer,46,Business travel,Business,3550,5,5,5,5,2,5,4,4,4,4,4,5,4,5,0,0.0,satisfied
129804,Male,Loyal Customer,54,Personal Travel,Eco,447,1,5,1,2,2,1,2,2,5,2,5,3,4,2,17,5.0,neutral or dissatisfied
51484,Male,Loyal Customer,54,Business travel,Business,451,5,5,5,5,2,5,4,5,5,5,5,5,5,5,0,0.0,satisfied
25729,Male,Loyal Customer,70,Personal Travel,Eco,432,2,4,5,2,4,5,4,4,3,4,4,5,5,4,0,0.0,neutral or dissatisfied
62542,Female,disloyal Customer,50,Business travel,Eco,993,4,4,4,4,4,4,4,4,3,4,3,2,3,4,0,21.0,neutral or dissatisfied
109463,Male,Loyal Customer,55,Business travel,Business,2819,2,2,2,2,2,4,5,5,5,5,5,3,5,4,4,0.0,satisfied
102940,Female,Loyal Customer,58,Personal Travel,Eco Plus,436,1,3,4,4,4,3,3,3,3,4,3,1,3,4,0,0.0,neutral or dissatisfied
126667,Female,Loyal Customer,60,Business travel,Business,2014,1,5,1,1,5,4,5,3,3,3,3,5,3,3,0,0.0,satisfied
82010,Male,Loyal Customer,50,Business travel,Eco,1135,1,5,5,5,1,1,1,1,3,4,4,3,4,1,0,0.0,neutral or dissatisfied
112463,Male,Loyal Customer,46,Business travel,Eco,462,3,3,3,3,3,3,3,3,5,3,4,3,1,3,168,162.0,neutral or dissatisfied
57662,Female,Loyal Customer,64,Personal Travel,Eco,200,2,2,2,4,1,4,3,5,5,2,2,2,5,2,2,0.0,neutral or dissatisfied
17249,Female,Loyal Customer,64,Business travel,Business,2569,3,3,3,3,3,1,2,5,5,5,5,4,5,2,0,0.0,satisfied
123521,Male,Loyal Customer,20,Personal Travel,Eco,2077,4,4,4,4,1,4,5,1,1,5,5,4,2,1,0,0.0,neutral or dissatisfied
20289,Female,Loyal Customer,50,Personal Travel,Eco,235,2,4,2,3,2,5,4,5,5,2,5,5,5,4,0,16.0,neutral or dissatisfied
100373,Female,Loyal Customer,54,Personal Travel,Eco,1053,2,4,2,2,5,5,4,5,5,2,5,3,5,4,0,0.0,neutral or dissatisfied
28154,Female,Loyal Customer,57,Business travel,Eco,859,3,3,3,3,2,1,1,3,3,3,3,3,3,4,0,0.0,neutral or dissatisfied
83811,Male,Loyal Customer,49,Business travel,Business,1816,2,2,4,2,2,5,4,5,5,5,5,5,5,3,0,0.0,satisfied
21041,Female,Loyal Customer,63,Business travel,Business,2051,0,5,0,2,3,2,3,1,1,1,1,4,1,1,0,0.0,satisfied
34314,Male,Loyal Customer,33,Business travel,Eco Plus,280,2,1,1,1,2,2,2,2,4,5,3,1,4,2,100,82.0,neutral or dissatisfied
129856,Female,Loyal Customer,41,Business travel,Business,3926,0,0,0,1,3,4,4,2,2,2,2,4,2,5,0,0.0,satisfied
58658,Male,Loyal Customer,32,Personal Travel,Eco,867,2,4,2,4,5,2,5,5,4,3,2,3,3,5,0,0.0,neutral or dissatisfied
34895,Female,Loyal Customer,25,Business travel,Business,187,2,2,2,2,5,5,5,5,2,3,2,4,4,5,0,0.0,satisfied
35694,Male,Loyal Customer,76,Business travel,Business,3680,4,4,4,4,5,5,5,5,5,4,5,5,2,5,23,28.0,satisfied
30396,Male,Loyal Customer,67,Personal Travel,Eco,862,2,5,2,1,3,2,5,3,4,2,4,3,4,3,0,0.0,neutral or dissatisfied
