id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
121327,Female,Loyal Customer,36,Personal Travel,Eco,1009,2,5,2,1,1,2,1,1,4,3,2,4,2,1,0,0.0,neutral or dissatisfied
120566,Female,Loyal Customer,47,Personal Travel,Eco,2176,4,4,4,5,4,4,2,4,4,4,4,3,4,4,0,0.0,satisfied
120318,Male,Loyal Customer,56,Business travel,Business,268,1,1,1,1,3,4,5,4,4,4,4,3,4,3,0,0.0,satisfied
16146,Female,Loyal Customer,36,Business travel,Eco,277,5,4,4,4,5,5,5,5,4,2,2,5,3,5,178,174.0,satisfied
35799,Male,Loyal Customer,35,Business travel,Eco Plus,200,2,2,2,2,2,2,2,2,1,1,3,1,3,2,0,0.0,neutral or dissatisfied
99536,Female,Loyal Customer,57,Business travel,Business,3217,4,4,4,4,2,4,5,2,2,3,2,4,2,4,17,15.0,satisfied
29397,Female,disloyal Customer,37,Business travel,Eco,878,1,1,1,2,2,1,2,2,4,5,5,5,2,2,0,0.0,neutral or dissatisfied
73654,Male,Loyal Customer,23,Business travel,Business,1823,2,5,5,5,2,2,2,2,1,2,3,1,3,2,44,34.0,neutral or dissatisfied
104811,Male,Loyal Customer,48,Personal Travel,Eco,587,4,4,3,2,1,3,1,1,3,2,4,5,5,1,0,0.0,neutral or dissatisfied
89759,Female,Loyal Customer,46,Personal Travel,Eco,1035,3,5,3,2,2,4,4,5,5,3,5,4,5,3,0,0.0,neutral or dissatisfied
4648,Female,Loyal Customer,48,Business travel,Business,3551,5,5,5,5,5,4,4,5,5,5,5,3,5,3,0,1.0,satisfied
34852,Female,disloyal Customer,18,Business travel,Eco,1826,4,4,4,3,3,4,1,3,4,5,4,2,4,3,14,0.0,neutral or dissatisfied
104837,Female,Loyal Customer,53,Personal Travel,Eco,472,5,2,5,3,1,4,4,4,4,5,4,3,4,3,0,1.0,satisfied
100668,Female,Loyal Customer,46,Business travel,Business,677,4,4,4,4,3,5,5,4,4,4,4,3,4,4,104,104.0,satisfied
16293,Male,Loyal Customer,14,Personal Travel,Eco,946,1,4,1,3,1,1,1,1,4,1,2,5,3,1,33,48.0,neutral or dissatisfied
35096,Female,Loyal Customer,19,Business travel,Business,1560,4,4,4,4,5,5,5,5,4,5,4,2,1,5,0,30.0,satisfied
95097,Female,Loyal Customer,8,Personal Travel,Eco,341,3,1,3,2,4,3,4,4,1,3,1,2,2,4,0,0.0,neutral or dissatisfied
10829,Male,Loyal Customer,45,Business travel,Business,3743,1,1,1,1,2,4,5,4,4,4,4,5,4,3,0,0.0,satisfied
92895,Male,Loyal Customer,55,Business travel,Business,3932,2,2,4,2,4,5,4,4,4,4,4,3,4,3,0,0.0,satisfied
25039,Female,Loyal Customer,24,Personal Travel,Eco,907,3,1,3,3,4,3,4,4,1,2,4,2,3,4,6,0.0,neutral or dissatisfied
104948,Female,disloyal Customer,38,Business travel,Business,1180,3,3,3,3,5,3,5,5,5,3,5,3,5,5,111,98.0,neutral or dissatisfied
74825,Male,Loyal Customer,45,Personal Travel,Eco Plus,1235,3,4,3,4,3,3,3,3,2,3,4,1,4,3,0,0.0,neutral or dissatisfied
74044,Male,Loyal Customer,39,Business travel,Business,1194,1,2,5,2,5,3,4,1,1,1,1,2,1,2,0,0.0,neutral or dissatisfied
112807,Male,Loyal Customer,54,Business travel,Business,1933,5,5,5,5,2,5,4,3,3,3,3,3,3,5,11,6.0,satisfied
22205,Female,Loyal Customer,44,Personal Travel,Eco,533,2,1,5,3,2,2,2,2,2,5,2,1,2,3,0,0.0,neutral or dissatisfied
55245,Female,Loyal Customer,60,Personal Travel,Eco,1009,1,5,1,3,3,4,4,1,1,1,1,5,1,5,0,0.0,neutral or dissatisfied
57102,Female,Loyal Customer,56,Business travel,Business,3047,2,2,2,2,2,5,4,5,5,5,5,5,5,5,65,52.0,satisfied
94811,Male,Loyal Customer,38,Business travel,Eco,239,4,5,5,5,4,4,4,4,4,4,3,1,3,4,34,34.0,neutral or dissatisfied
18961,Female,Loyal Customer,55,Business travel,Eco Plus,500,1,2,4,2,1,4,3,1,1,1,1,1,1,2,0,0.0,neutral or dissatisfied
23378,Female,Loyal Customer,54,Personal Travel,Eco,1014,4,1,5,3,5,5,3,1,2,2,2,3,1,3,259,244.0,neutral or dissatisfied
80272,Female,Loyal Customer,56,Personal Travel,Business,746,2,4,2,2,2,1,5,5,4,5,4,5,5,5,141,134.0,neutral or dissatisfied
100979,Male,disloyal Customer,30,Business travel,Eco,1112,2,2,2,2,3,2,3,3,4,3,2,3,2,3,15,22.0,neutral or dissatisfied
71777,Female,Loyal Customer,58,Business travel,Business,1723,5,5,5,5,5,5,5,5,4,5,5,5,4,5,158,151.0,satisfied
57802,Female,Loyal Customer,23,Business travel,Business,3686,2,2,2,2,5,5,5,5,3,2,4,5,5,5,11,6.0,satisfied
9365,Male,Loyal Customer,43,Business travel,Business,2025,2,2,3,2,4,3,4,2,2,2,2,1,2,3,0,0.0,neutral or dissatisfied
59117,Female,Loyal Customer,52,Personal Travel,Eco,1744,4,4,4,3,2,4,2,3,3,4,3,2,3,2,67,69.0,neutral or dissatisfied
101868,Male,disloyal Customer,26,Business travel,Eco,1747,4,3,3,3,2,4,2,2,4,5,4,3,4,2,0,0.0,neutral or dissatisfied
113438,Female,Loyal Customer,41,Business travel,Business,386,5,5,5,5,3,5,4,4,4,4,4,4,4,5,2,2.0,satisfied
18229,Female,Loyal Customer,26,Business travel,Business,3633,4,2,2,2,2,2,4,2,2,5,3,2,3,2,0,18.0,neutral or dissatisfied
128744,Female,Loyal Customer,42,Business travel,Eco,2521,4,1,1,1,4,4,4,4,4,2,3,4,3,4,0,0.0,neutral or dissatisfied
46469,Female,Loyal Customer,47,Business travel,Business,2566,2,4,5,5,5,3,3,3,3,3,2,1,3,4,28,24.0,neutral or dissatisfied
91801,Female,Loyal Customer,28,Personal Travel,Eco,588,1,1,1,4,5,1,4,5,1,2,3,2,4,5,0,0.0,neutral or dissatisfied
121277,Male,Loyal Customer,57,Business travel,Business,1814,2,3,2,2,2,5,4,5,5,5,5,3,5,5,0,0.0,satisfied
51055,Female,Loyal Customer,57,Personal Travel,Eco,190,3,4,0,1,3,4,5,4,4,0,4,5,4,4,0,0.0,neutral or dissatisfied
36325,Female,Loyal Customer,62,Business travel,Eco,395,2,4,4,4,4,3,3,2,2,2,2,4,2,4,0,2.0,neutral or dissatisfied
105784,Male,Loyal Customer,25,Personal Travel,Eco,925,3,5,3,1,5,3,5,5,3,2,4,3,5,5,16,23.0,neutral or dissatisfied
102204,Female,Loyal Customer,51,Business travel,Business,2139,3,3,3,3,3,4,5,5,5,5,5,4,5,3,11,3.0,satisfied
73782,Female,Loyal Customer,46,Personal Travel,Eco,192,3,5,3,3,3,4,4,4,4,3,4,3,4,4,3,0.0,neutral or dissatisfied
76853,Female,disloyal Customer,24,Business travel,Eco,989,4,4,4,3,3,4,3,3,3,1,4,1,4,3,5,0.0,satisfied
37045,Female,Loyal Customer,69,Personal Travel,Eco,1105,3,1,3,2,1,3,3,2,2,3,2,1,2,1,11,15.0,neutral or dissatisfied
43911,Female,Loyal Customer,45,Personal Travel,Eco,255,2,1,2,3,3,3,3,2,2,2,2,3,2,4,0,0.0,neutral or dissatisfied
116527,Female,Loyal Customer,42,Personal Travel,Eco,390,1,5,1,4,3,4,4,2,2,1,2,5,2,5,0,0.0,neutral or dissatisfied
71926,Female,Loyal Customer,46,Business travel,Business,1726,5,5,5,5,3,3,4,4,4,4,4,5,4,5,11,0.0,satisfied
58332,Male,Loyal Customer,52,Personal Travel,Eco,1739,1,4,1,2,1,1,1,1,3,5,5,5,5,1,0,0.0,neutral or dissatisfied
8670,Male,Loyal Customer,45,Business travel,Business,2619,5,5,5,5,5,4,4,4,4,4,4,4,4,3,0,0.0,satisfied
62833,Female,Loyal Customer,52,Business travel,Business,2399,4,4,4,4,5,5,4,4,4,4,4,5,4,4,0,0.0,satisfied
35886,Male,Loyal Customer,14,Personal Travel,Eco,937,1,3,1,4,4,1,4,4,3,1,4,2,4,4,9,20.0,neutral or dissatisfied
94604,Male,Loyal Customer,75,Business travel,Business,2377,3,1,1,1,3,3,4,3,3,3,3,4,3,3,1,0.0,neutral or dissatisfied
93091,Female,Loyal Customer,61,Personal Travel,Eco,860,1,4,1,3,4,5,4,1,1,1,1,4,1,3,4,0.0,neutral or dissatisfied
119159,Male,Loyal Customer,35,Business travel,Business,2091,3,3,3,3,3,5,5,5,5,5,5,3,5,3,0,0.0,satisfied
60481,Female,disloyal Customer,29,Business travel,Eco,862,4,4,4,4,5,4,1,5,4,4,3,2,4,5,13,16.0,neutral or dissatisfied
48688,Female,Loyal Customer,26,Business travel,Business,109,5,5,3,5,4,4,4,4,4,5,4,4,4,4,6,0.0,satisfied
22656,Male,Loyal Customer,10,Personal Travel,Eco Plus,300,2,3,2,4,5,2,5,5,4,3,2,1,3,5,33,32.0,neutral or dissatisfied
108464,Male,Loyal Customer,21,Personal Travel,Eco,1444,3,1,3,3,3,3,3,3,4,1,2,4,2,3,16,9.0,neutral or dissatisfied
86160,Male,Loyal Customer,40,Business travel,Business,2457,5,5,5,5,2,4,5,5,5,5,5,4,5,3,3,0.0,satisfied
62956,Male,Loyal Customer,52,Business travel,Business,967,4,4,4,4,5,4,4,3,3,4,3,5,3,4,0,0.0,satisfied
1933,Male,disloyal Customer,39,Business travel,Business,285,2,2,2,4,1,2,1,1,4,3,3,2,4,1,11,14.0,neutral or dissatisfied
3567,Male,Loyal Customer,30,Personal Travel,Eco,227,3,5,3,5,3,3,3,3,4,2,4,3,5,3,9,13.0,neutral or dissatisfied
99514,Male,Loyal Customer,49,Personal Travel,Eco,307,3,5,3,2,3,3,3,3,2,5,3,4,3,3,0,9.0,neutral or dissatisfied
65897,Female,Loyal Customer,41,Business travel,Business,569,2,2,2,2,2,4,5,4,4,4,4,3,4,5,7,0.0,satisfied
129698,Male,Loyal Customer,47,Business travel,Business,308,3,3,3,3,3,4,4,4,4,4,4,4,4,3,0,0.0,satisfied
96777,Female,Loyal Customer,18,Business travel,Business,3286,3,3,2,3,5,5,5,5,4,3,5,3,4,5,0,0.0,satisfied
84431,Female,Loyal Customer,49,Personal Travel,Eco,591,1,4,1,2,4,4,4,4,4,1,4,3,4,5,0,0.0,neutral or dissatisfied
109532,Male,disloyal Customer,26,Business travel,Eco,434,3,0,3,1,4,3,4,4,3,5,4,4,1,4,0,0.0,neutral or dissatisfied
108772,Female,Loyal Customer,55,Business travel,Business,404,2,2,2,2,4,5,4,5,5,5,5,5,5,4,9,18.0,satisfied
19750,Female,Loyal Customer,36,Business travel,Eco,462,4,4,4,4,4,4,4,4,1,2,4,1,2,4,48,44.0,satisfied
49053,Male,Loyal Customer,60,Business travel,Business,156,2,2,2,2,1,4,1,5,5,5,3,4,5,3,0,0.0,satisfied
20695,Male,Loyal Customer,50,Business travel,Eco,779,2,1,1,1,2,2,2,2,2,5,3,2,2,2,73,86.0,neutral or dissatisfied
122514,Female,Loyal Customer,60,Personal Travel,Eco,930,1,5,1,2,5,4,5,3,3,1,3,4,3,4,3,0.0,neutral or dissatisfied
51339,Female,Loyal Customer,54,Business travel,Eco Plus,262,2,1,4,1,2,4,4,2,2,2,2,2,2,4,0,0.0,neutral or dissatisfied
17341,Female,Loyal Customer,41,Business travel,Business,3874,5,5,5,5,1,5,2,4,4,4,4,3,4,1,0,0.0,satisfied
40702,Male,Loyal Customer,54,Business travel,Business,3086,3,5,3,3,5,3,5,3,3,5,3,5,3,1,0,0.0,satisfied
7219,Female,Loyal Customer,49,Business travel,Eco,135,1,2,2,2,5,4,3,1,1,1,1,3,1,3,0,0.0,neutral or dissatisfied
109024,Female,disloyal Customer,39,Business travel,Business,849,3,3,3,3,3,3,3,3,3,3,3,4,4,3,129,122.0,neutral or dissatisfied
14099,Male,Loyal Customer,63,Personal Travel,Eco,371,4,3,4,4,3,4,3,3,1,4,3,4,3,3,0,32.0,satisfied
75478,Female,Loyal Customer,70,Personal Travel,Eco,2585,2,5,2,5,2,3,5,1,1,2,1,5,1,5,0,0.0,neutral or dissatisfied
63521,Female,Loyal Customer,67,Business travel,Business,1009,1,1,1,1,4,5,4,5,5,5,5,3,5,5,0,0.0,satisfied
14059,Male,Loyal Customer,31,Business travel,Business,1599,4,5,5,5,4,4,4,4,2,3,3,4,4,4,169,217.0,neutral or dissatisfied
109016,Male,Loyal Customer,18,Business travel,Business,2982,1,1,1,1,4,4,4,4,3,5,5,5,5,4,8,9.0,satisfied
16378,Male,Loyal Customer,25,Business travel,Eco Plus,1215,4,3,3,3,4,4,3,4,5,2,4,2,1,4,2,0.0,satisfied
66802,Male,Loyal Customer,14,Business travel,Business,731,3,4,4,4,3,3,3,3,1,2,3,3,4,3,23,8.0,neutral or dissatisfied
31390,Female,Loyal Customer,60,Personal Travel,Eco,895,4,5,4,4,3,4,5,3,3,4,3,3,3,3,42,69.0,neutral or dissatisfied
51827,Female,disloyal Customer,23,Business travel,Eco Plus,370,0,0,0,1,5,0,2,5,2,4,3,4,4,5,0,0.0,satisfied
3094,Male,Loyal Customer,36,Business travel,Business,194,1,1,1,1,4,3,2,5,5,5,5,4,5,2,0,11.0,satisfied
90556,Female,disloyal Customer,23,Business travel,Eco,271,5,4,5,3,5,5,5,5,4,3,5,3,5,5,0,0.0,satisfied
10800,Male,Loyal Customer,57,Business travel,Business,3653,3,3,3,3,4,3,3,3,3,2,3,2,3,1,0,0.0,neutral or dissatisfied
78058,Male,Loyal Customer,49,Personal Travel,Eco,152,1,5,1,2,2,1,2,2,5,3,4,4,4,2,0,0.0,neutral or dissatisfied
93531,Female,Loyal Customer,60,Business travel,Business,3639,3,2,2,2,5,1,1,3,3,3,3,1,3,4,0,0.0,neutral or dissatisfied
110120,Female,Loyal Customer,41,Business travel,Business,882,1,0,0,2,2,3,3,5,5,0,5,4,5,4,9,8.0,neutral or dissatisfied
126269,Female,disloyal Customer,23,Business travel,Eco,190,5,3,5,2,3,5,3,3,3,2,3,4,2,3,0,0.0,satisfied
101203,Male,Loyal Customer,68,Personal Travel,Eco,1235,0,5,0,3,2,0,2,2,3,1,5,5,1,2,1,0.0,satisfied
32131,Male,Loyal Customer,37,Business travel,Business,101,1,1,1,1,1,1,3,4,4,4,4,1,4,2,0,0.0,satisfied
79527,Female,Loyal Customer,31,Business travel,Business,762,1,1,1,1,3,4,3,3,3,4,4,5,4,3,0,0.0,satisfied
49705,Female,disloyal Customer,37,Business travel,Eco,190,2,0,2,2,3,2,5,3,1,3,4,3,3,3,0,1.0,neutral or dissatisfied
90688,Male,Loyal Customer,40,Business travel,Business,2564,1,1,1,1,2,5,4,4,4,4,4,5,4,5,0,0.0,satisfied
116179,Female,Loyal Customer,45,Personal Travel,Eco,447,2,4,2,4,2,4,4,2,2,2,2,4,2,5,0,0.0,neutral or dissatisfied
116350,Female,Loyal Customer,42,Personal Travel,Eco,358,4,4,4,4,1,4,3,3,3,4,3,2,3,3,14,17.0,neutral or dissatisfied
51236,Male,Loyal Customer,52,Business travel,Eco Plus,156,5,2,2,2,5,5,5,5,2,2,2,1,3,5,0,0.0,satisfied
99259,Female,Loyal Customer,56,Business travel,Business,2234,2,2,2,2,4,5,4,5,5,5,5,4,5,4,58,52.0,satisfied
49663,Male,Loyal Customer,53,Business travel,Eco,86,5,3,5,3,5,5,5,5,4,3,4,4,3,5,0,0.0,satisfied
110639,Male,Loyal Customer,31,Personal Travel,Business,829,2,4,2,4,3,2,3,3,3,2,5,4,5,3,0,0.0,neutral or dissatisfied
101836,Male,Loyal Customer,14,Personal Travel,Eco,1521,4,4,4,4,3,4,3,3,3,3,5,4,3,3,0,2.0,neutral or dissatisfied
